,team1,team2,possession_team1,possession team2,number_of_goals_team1,number_of_goals_team2,date,hour,category,total_attempts_team1,total_attempts_team2,conceded_team1,conceded_team2,on_target_attempts_team1,on_target_attempts_team2,off_target_attempts_team1,off_target_attempts_team2,attempted_defensive_line_breaks_team1,attempted_defensive_line_breaks_team2,completed_defensive_line_breaks_team1,completed_defensive_line_breaks_team2,yellow_cards_team1,yellow_cards_team2,red_cards_team1,red_cards_team2,fouls_against_team1,fouls_against_team2,offsides_team1,offsides_team2,passes_team1,passes_team2,passes_completed_team1,passes_completed_team2,corners_team1,corners_team2,free_kicks_team1,free_kicks_team2,penalties_scored_team1,penalties_scored_team2,goal_preventions_team1,goal_preventions_team2,own_goals_team1,own_goals_team2
24,JAPAN,COSTA RICA,48%,39%,0,1,2022-11-27,0 days 11:00:00,Group E,14,4,1,0,3,1,4,1,22,4,7,0,3,3,0,0,22,9,0,2,575,444,510,371,5,0,11,22,0,0,4,14,0,0
25,BELGIUM,MOROCCO,56%,32%,0,2,2022-11-27,0 days 02:00:00,Group F,10,11,2,0,4,4,6,6,13,11,3,8,1,1,0,0,10,14,3,3,671,317,598,275,9,1,17,13,0,0,11,10,0,0
26,CROATIA,CANADA,41%,46%,4,1,2022-11-27,0 days 05:00:00,Group F,13,9,1,4,10,2,2,3,24,15,10,6,2,2,0,0,13,5,1,3,462,511,391,434,5,2,8,14,0,0,9,13,0,0
27,SPAIN,GERMANY,56%,33%,1,1,2022-11-27,0 days 08:00:00,Group E,7,10,1,1,3,4,4,5,19,17,13,7,1,3,0,0,13,11,2,5,647,352,565,281,6,5,16,15,0,0,11,7,0,0
28,CAMEROON,SERBIA,38%,49%,3,3,2022-11-28,0 days 11:00:00,Group G,13,16,3,3,8,6,3,8,22,22,12,12,2,2,0,0,8,13,0,4,364,513,271,433,4,3,17,8,0,0,16,13,0,0
29,KOREA REPUBLIC,GHANA,53%,32%,2,3,2022-11-28,0 days 02:00:00,Group H,21,8,3,2,6,3,8,3,24,12,19,5,2,2,0,0,13,9,1,1,540,319,477,260,12,5,10,14,0,0,8,21,0,0
30,BRAZIL,SWITZERLAND,51%,40%,1,0,2022-11-28,0 days 05:00:00,Group G,9,4,0,1,5,0,2,1,20,17,11,4,1,1,0,0,10,17,3,1,565,488,498,415,8,3,18,13,0,0,4,9,0,0
31,PORTUGAL,URUGUAY,53%,35%,2,0,2022-11-28,0 days 08:00:00,Group H,14,10,0,2,4,3,7,6,11,17,7,11,3,2,0,0,10,16,2,0,596,390,517,306,6,2,15,13,1,0,11,14,0,0
32,NETHERLANDS,QATAR,54%,38%,2,0,2022-11-29,0 days 04:00:00,Group A,13,6,0,2,4,4,5,2,13,15,10,10,1,0,0,0,19,9,4,0,795,459,740,394,4,2,9,24,0,0,5,14,0,0
33,ECUADOR,SENEGAL,51%,32%,1,2,2022-11-29,0 days 04:00:00,Group A,8,15,2,1,4,5,3,8,10,20,2,12,0,1,0,0,23,11,0,3,432,269,353,198,3,6,14,22,0,1,15,8,0,0
