,title,published_date,views,likes,comments,dislikes
70,YES THIS IS WEIRD,2017-07-22,10949783,983045,20428,0
71,BEST REALITY SHOW IN THE WORLD,2017-07-09,30250799,2409966,52435,0
72,THE TIME HAS COME (QnA),2017-06-24,13941274,1176056,25106,0
73,PEER PRESSURE,2017-06-16,6578633,489184,10697,0
74,CAN THIS BE A THING?,2017-06-08,5170212,405540,20840,0
75,MEET THE LEGEND OF THIS CENTURY,2017-05-05,22991206,1657542,48692,0
76,SCHOOL HOLIDAYS,2017-04-25,8926231,650621,13656,0
77,MY ROOM TOUR 2017,2017-04-15,6821326,667554,11836,0
78,"""HOT"" GIRL OFFERS MILK",2017-04-08,30826406,1889823,27446,0
79,THE ORIGIN OF SPIKES,2017-04-01,5685067,349582,9453,0
80,BAAHUBALI PARODY PARODY,2017-03-22,7150607,444331,10545,0
81,BAD WORDS,2017-03-17,17268202,862867,17038,0
82,YOU ASKED FOR THIS,2017-03-09,11620692,1035178,28945,0
83,E.X.A.M.S,2017-02-22,14345437,986104,21885,0
84,THIS IS YOUR VALENTINE,2017-02-14,10455629,602493,13397,0
85,BEST THING ON THIS PLANET,2017-02-09,8073026,587067,12218,0
86,MARRY YOUR DREAM PARTNER,2017-02-02,9140855,547910,12894,0
87,"""HAREE OM"" THIS IS ENOUGH PLEASE STOP",2017-01-26,22236696,1615034,20874,0
88,"""DAARU DAARU DAARU"" SHE IS BACK",2017-01-17,29663217,1467572,33964,0
89,RAP STAR ON PEAK,2017-01-12,15632746,1090776,19968,0
90,EK AURAT,2017-01-08,2714635,393520,17347,0
91,WORST START OF THE YEAR,2017-01-06,8760087,665896,18849,0
92,1 BILLION DIRHAM SETUP TOUR,2017-01-03,13107294,971504,17120,0
93,THE END OF SOMETHING BEAUTIFUL,2016-12-28,7977404,581515,20136,0
94,INDIAN CHRISTMAS RANT,2016-12-25,4264663,353327,6024,0
95,HOMELESS SEXIST GHOST,2016-12-21,8999240,577113,9956,0
96,THE MEANING OF LIFE,2016-12-17,2845096,165968,9739,0
97,BEST DADDY FOR YOUR DAUGHTER,2016-12-11,7854772,500855,10966,0
98,THE CLOSEST HUMAN TO GOD,2016-12-04,19366408,924778,29298,0
99,YOUTUBE TRENDING PAGE,2016-11-30,9785400,877642,18813,0
100,THE AWESOME PLACE WE CALL SCHOOL,2016-11-26,9654279,692133,10466,0
101,THE DARK ADULT SIDE OF YOUTHOOB,2016-11-23,9233082,469045,7907,0
102,"""SONAM GUPTA BEWAFA HAI"" PLEASE STOP WORST TREND 2016",2016-11-17,9623609,595863,7363,0
103,EVERYBODY WANTS KATRINA CAT,2016-11-13,9746211,611250,12197,0
104,BLACK AND WHITE (NEW INDIAN POLICY),2016-11-09,4877432,399806,8305,0
105,MUSIC INDUSTRY ON PEAK,2016-11-08,7205051,468966,12944,0
106,ADULT NOT SO HORROR MOVIE,2016-11-05,5465033,403850,8228,0
107,GOLD DIGGER PRANKS - THE MONEY MAKING MACHINE OF YOUTUBE,2016-10-28,9273857,652323,9962,0
108,ANOTHER SHITTY FACECAM VIDEO,2016-10-22,5192777,586177,9709,0
109,PPAP Pen Pineapple Apple Pen PLEASE STOP,2016-10-15,8961891,615693,12241,0
110,INDIANS FINDING LOVE PARTNER,2016-10-07,9665020,459371,12321,0
111,NON VEG JOKES FOR KIDS,2016-09-30,14816599,675374,13825,0
112,MICHEAL JACKSON HAS A NEW LIFE,2016-09-27,8522039,438444,10448,0
113,MUMMY DADDY PRANK,2016-09-22,10921802,906067,9775,0
114,SUPERNATURAL SWAG,2016-09-18,5486416,387727,7452,0
115,EMBRACING THE HATE (FACECAM),2016-09-12,22792145,2168235,43013,0
116,I DID SOMETHING BAD,2016-09-11,4081762,308791,4826,0
117,FIGHTING YOUR OWN SWAG,2016-09-10,14996935,864893,27275,0
118,INDIAN WOMEN GETTING HIGH,2016-09-06,1132931,91856,3515,0
119,THIS IS NOT A DARING SHOW,2016-08-30,10310294,658142,13367,0
120,AESTHETIC SHAKTIMAAN,2016-08-27,7219224,422181,9937,0
121,HOW MUCH MONEY DO I MAKE ? QNA (FACECAM),2016-08-23,8601426,663181,17205,0
122,LET THE FUN BEGIN,2016-08-21,3863627,246075,5037,0
123,THIS IS SEXUALLY WEIRD,2016-08-15,12979723,883272,9373,0
124,50 LAYERS OF CHEESE,2016-08-14,4262877,266450,7316,0
125,THE RETURN,2016-08-12,7313745,564828,10421,0
126,Roast Of NAZAR BATTU,2016-08-07,6352804,445562,6024,0
127,GETTING FAMOUS WITH BB KI VINES,2016-08-03,25304624,1590754,38425,0
128,PROPOSING MALE AND WOMEN,2016-07-30,5801439,379767,9033,0
129,ROASTING ALL INDIA BAKCHOD,2016-07-29,5697491,309511,5154,0
130,THIS IS TOO MUCH,2016-07-25,3073387,157285,3150,0
131,POHA IS LOVE POHA IS LIFE,2016-07-21,3362503,202204,4989,0
132,GOLD DIGGER (GONE VERY VERY SEXY),2016-07-14,7324828,444996,6652,0
133,GIRL WITH SWEG,2016-07-11,7194812,443382,9041,0
134,THE PERFECT PARTNER,2016-07-10,6263356,297802,8203,0
135,INDIANS WITH FAKE ACCENT,2016-07-07,5148778,250086,4774,0
136,BEST PAKISTANI SHOW,2016-07-06,20509931,1013879,15550,0
137,HOT BIKINI SEX,2016-07-02,14326905,411562,5180,0
138,69 SUBSCRIBERS SPECIAL QnA,2016-06-30,19709748,1277240,39031,0
139,THE ART OF SATISFACTION,2016-06-29,4033280,207942,5226,0
140,SASTE NASHE OVERDOSE,2016-06-26,4334058,252652,6574,0
141,EVERY INDIAN P.E TEACHERS,2016-06-24,5763932,346157,4473,0
142,MAKING MONEY WITH BB KI VINES,2016-06-21,13588454,770622,12631,0
143,EVERYTHING WRONG WITH INDIAN SCHOOLS,2016-06-17,12203238,798615,12911,0
144,INDIA CENSOR BOARD,2016-06-15,4742755,294224,3254,0
145,SEXY BLACK MAGIC (GONE SEXUAL),2016-06-09,3551103,250826,3418,0
146,5 INDIAN SUPERSTITIONS THAT MAKE NO SENSE !,2016-06-06,3857172,355239,6500,0
147,I VERY VERY LOVE YOU,2016-06-03,14735501,837224,18524,0
148,HOW TO SURVIVE IN A JUNGLE,2016-05-30,3438082,204531,4269,0
149,I WANT A GIRL,2016-05-26,13024815,590087,11851,0
150,SPANKING  ASS (GONE RIGHT),2016-05-20,3151392,235308,3244,0
151,KISS ANY GIRL YOU WANT,2016-05-18,6697131,430739,5018,0
152,KIDS ARE BEAUTIFUL,2016-05-15,3884565,247177,4463,0
153,LOUD NOISES,2016-05-13,3253535,228102,4330,0
154,FATHER OF NONE RETURNS,2016-05-12,6210982,362416,0,0
155,SEXY RICH VIDEO,2016-05-09,11718716,369008,5464,0
156,GUJJAR GOES WILD,2016-05-08,3952073,216945,5709,0
157,WONNA BE HONEY SINGH,2016-05-06,4082806,236777,4398,0
158,ANSWERING YOU,2016-05-05,1962277,125261,2922,0
159,GOOD BAD BOY,2016-05-03,5108815,293890,4944,0
160,HAVE SEX WITH ANYONE,2016-04-29,3284005,204940,4223,0
161,CANT LIVE LONG,2016-04-27,2013831,118643,2631,0
162,CAN I ASK A QUESTION,2016-04-25,4735377,294041,6873,0
163,GUJJAR SWEG RAP,2016-04-24,2009097,112333,2533,0
164,BEING OSUM,2016-04-22,2928256,210896,5521,0
165,GETTING GIRLFREND DEFINITELY WORKOUTS,2016-04-13,3858514,241689,9845,0
166,SAVE HUMANITITIES,2016-04-11,1654894,107931,2964,0
167,WONNA BE ANGEL,2016-04-10,4165205,214683,6578,0
168,SMELL SWAG IN THIS MUSIC VIDEO,2016-04-08,3289311,231076,4241,0
169,NEW GEN RAP RETURN OF GUJJAR BOYS,2016-04-06,7092610,323288,9653,0
170,AUNTY FETISH RAP,2016-04-03,6804432,388903,12557,0
171,ANSWER ME,2016-04-01,3703583,211172,5158,0
172,When Indian Sings English Songs,2016-03-30,1712596,91543,3695,0
173,Ear Bleeding Prank in India,2016-03-28,844308,61407,2643,0
174,Dobby vs Indian Guy (Gone Bollywood),2016-03-26,1526708,109819,2548,0
175,Suxy Punjabi Song (Gone Autotune),2016-03-24,4470970,244269,5356,0
176,Lets Make Girls Weird Prank,2016-03-22,1834565,126787,2405,0
177,Swaggiest RapStar in Mumbai (Gone Sexual),2016-03-18,1781958,97265,2687,0
178,This is A QnA Video,2016-03-16,1170370,91407,3402,0
179,WWE Extreme Bakchod Style,2016-03-14,3836815,248176,7792,0
180,Make your Eyes Bleed,2016-03-12,1655475,99355,2339,0
181,How to Propose a Girl Pro Style.,2016-03-10,2007601,141413,2996,0
182,Gujjar Boyz Rap Video ( Gone Rappy ),2016-03-07,4746474,257503,6335,0
183,Punjabi Rap Battle ( Gone Bakchod ),2016-03-03,5317776,299125,10000,0
184,BakChod E-Spidermaan,2016-02-29,3894845,198977,5803,0
185,Pakistani Roadies !,2016-02-23,6958879,313670,4489,0
186,India's Weirdest Dance Ever on Youtube !,2016-02-20,2048044,130192,4096,0
187,India's Adult Film of The Year !,2016-02-17,12222752,377908,6953,0
188,KRK India's Best Film ACTOR/PRODUCER/CRITIC !,2016-02-14,6105078,399322,7268,0
189,Indians That Torrent,2016-02-09,3215862,191638,4291,0
190,INDIA CS:GO,2016-02-06,3659196,198941,5703,0
191,COD GHOST RANT in Hindi,2015-06-28,4099731,248069,15548,0
